CATALOG_KEY,NOMBRE,ES_SUIVE_EST_EPI
A00,CÓLERA,SI
A000,"CÓLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO CHOLERAE",SI
A001,"CÓLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO EL TOR",SI
A009,"CÓLERA, NO ESPECIFICADO",SI
A01,FIEBRES TIFOIDEA Y PARATIFOIDEA,NO
A010,FIEBRE TIFOIDEA,NO
A011,FIEBRE PARATIFOIDEA A,NO
A012,FIEBRE PARATIFOIDEA B,NO
A013,FIEBRE PARATIFOIDEA C,NO
A014,"FIEBRE PARATIFOIDEA, NO ESPECIFICADA",NO
A02,OTRAS INFECCIONES DEBIDAS A SALMONELLA,NO
A020,ENTERITIS DEBIDA A SALMONELLA,NO
A021,SEPSIS DEBIDA A SALMONELLA,NO
A022,INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA,NO
A028,OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA,NO
A029,"INFECCIÓN DEBIDA A SALMONELLA, NO ESPECIFICADA",NO
A03,SHIGELOSIS,NO
A030,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,NO
A031,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI,NO
A032,SHIGELOSIS DEBIDA A SHIGELLA BOYDII,NO
A033,SHIGELOSIS DEBIDA A SHIGELLA SONNEI,NO
A038,OTRAS SHIGELOSIS,NO
A039,SHIGELOSIS DE TIPO NO ESPECIFICADO,NO
A04,OTRAS INFECCIONES INTESTINALES BACTERIANAS,NO
A040,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROPATÓGENA,NO
A041,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROTOXÍGENA,NO
A042,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA,NO
A043,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROHEMORRÁGICA,NO
A044,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,NO
A045,ENTERITIS DEBIDA A CAMPYLOBACTER,NO
A046,ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA,NO
A047,ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE,NO
A048,OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS,NO
A049,"INFECCIÓN INTESTINAL BACTERIANA, NO ESPECIFICADA",NO
A05,"OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS, NO CLASIFICADAS EN OTRA PARTE",NO
A050,INTOXICACIÓN ALIMENTARIA ESTAFILOCÓCICA,NO
A051,BOTULISMO,NO
A052,INTOXICACIÓN ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII],NO
A053,INTOXICACIÓN ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS,NO
A054,INTOXICACIÓN ALIMENTARIA DEBIDA A BACILLUS CEREUS,NO
