Fármaco(s),Forma Farmacéutica,Concentración,Fracción (Art. 226 LGS),Denominación Distintiva,Registro Sanitario,Titular,Indicación terapéutica
"ABACAVIR, Sulfato de",Jarabe,2 g / 100 mL,IV,ZIAGENAVIR,087M99 SSA,"GLAXO WELLCOME, S.A.",Antirretroviral.
"ABACAVIR, Sulfato de / LAMIVUDINA",Tableta,600 mg / 300 mg,IV,KIVEXA,479M2005 SSA,"GLAXO WELLCOME, S.A.",Antirretroviral. Para el tratamiento de la infección causada por el Virus de la Inmunodeficiencia Humana (VIH).
"ABIRATERONA, Acetato de",Tableta,250 mg  y  500 mg,IV,ZYTIGA,241M2012 SSA,"JANSSEN-CILAG, S.A. DE C.V.","En el tratamiento de pacientes con cáncer de próstata metastásico de alto riesgo que no han recibido tratamiento hormonal (CPmHN) o en pacientes con cáncer de próstata metastásico hormono sensible (CPmHS) de alto riesgo de reciente diagnóstico en combinación con prednisona o prednisolona y terapia de privación androgénica (TDA).
Tratamiento de pacientes con cáncer de próstata metastásico resistente a la castración que son asintomáticos o con síntomas leves después del fracaso de la terapia de privación androgénica, indicado en combinación con prednisona o prednisolona.
Tratamiento de cáncer de próstata avanzado metastásico (cáncer de próstata resistente a la castración) en paciente que han recibido una quimioterapia previa con un taxano, indicado en combinación con prednisona o prednisolona."
ACECLOFENACO,Crema,1.5 g / 100 g,VI,BRISTAFLAM,322M95 SSA,"INDUSTRIAS FARMACÉUTICAS ALMIRALL, S.A.",Antiinflamatorio.
ACECLOFENACO,Polvo (Para solución),100 mg,IV,BRISTAFLAM,392M2003 SSA,"INDUSTRIAS FARMACÉUTICAS ALMIRALL, S.A.","Analgésico, Antiinflamatorio con acción analgésica."
ACECLOFENACO,Comprimido,100 mg,IV,BRISTAFLAM,440M93 SSA,"INDUSTRIAS FARMACÉUTICAS ALMIRALL, S.A.",Antiinflamatorio no esteroideo.
ACEMETACINA,Cápsula,60 mg,IV,RANTUDIL,247M96 SSA,MEDA MANUFACTURING GMBH,Antiinflamatorio no esteroideo con acción analgésica.
ACEMETACINA,Cápsula (Liberación prolongada),90 mg,IV,RANTUDIL RETARD,240M96 SSA,MADAUS GMBH,"Analgésico, Antiinflamatorio con acción analgésica."
ACENOCUMAROL,Tableta,4 mg,IV,SINTROM,46951 SSA,"ESPECÍFICOS STENDHAL, S.A. DE C.V.",Anticoagulante. Tratamiento y prevención de enfermedades tromboembólicas.
"ACETILSALICILATO DE LISINA /
METOCLOPRAMIDA /, Clorhidrato de",Polvo,1620 mg / 10 mg,IV,ANTIGRAM,214M2000 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.","Medicamento útil en la cefalea vascular, Analgésico, Antiemético."
ACEXAMATO DE SODIO / SULFATO DE NEOMICINA,Crema,5g / 0.4g / 100g,IV,RECOVERON-NC,443M94 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.","Para la cicatrización de heridas quirúrgicas, traumáticas y quemaduras."
ACEXAMATO DE SODIO / SULFATO DE NEOMICINA,Ungüento,5 g / 0.4 g / 100 g,IV,RECOVERON-N,82528 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Auxiliar en la reactivación de la neoformación epitelial.
ACICLOVIR,Tableta (Dispersable),"200 mg,  400 mg  y
800 mg",IV,ZOVIRAX DISPERSABLE,365M94 SSA,"GLAXO WELLCOME, S.A.",Antiviral.
ACICLOVIR,Solución,5 g / 100 mL,IV,CICLOFERON,586M2000 SSA,"LABORATORIOS LIOMONT, S.A. DE C.V.",Antiherpético
