CATALOG_KEY,PRO_NOMBRE
0,"PROCEDIMIENTOS E INTERVENCIONES, NO CLASIFICADOS EN OTRA PARTE"
0,ULTRASONIDO TERAPÉUTICO
1,ULTRASONIDO TERAPÉUTICO DE VASOS DE CABEZA Y CUELLO
2,ULTRASONIDO TERAPÉUTICO CARDÍACO
3,ULTRASONIDO TERAPÉUTICO DE VASOS PERIFÉRICOS
9,OTRO ULTRASONIDO TERAPÉUTICO
1,FÁRMACOS
10,IMPLANTACIÓN DE AGENTE QUIMIOTERAPÉUTICO
11,INFUSIÓN DE DROTRECOGÍN ALFA (ACTIVADA)
12,ADMINISTRACIÓN DE ÓXIDO NÍTRICO INHALADO
13,INYECCIÓN O INFUSIÓN DE NESIRITIDE
14,INYECCIÓN O INFUSIÓN DE ANTIBIÓTICOS DEL GRUPO DE LA OXAZOLIDINONA
15,INFUSIÓN DE DOSIS ALTA DE INTERLEUCINA-2 [IL-2]
16,TRATAMIENTO PRESURIZADO DE INJERTO DE DERIVACIÓN VENOSO [CONDUCTO] CON SUSTANCIA MEDICAMENTOSA
17,INFUSIÓN DE AGENTE VASOPRESOR
18,TERAPIA DE INFUSIÓN DE ANTICUERPOS INMUNOSUPRESORES
19,IRRUPCIÓN DE LA BARRERA HEMATOENCEFÁLICA VÍA INFUSIÓN [IBH] [BBBD]
2,IMAGEN INTRAVASCULAR DE VASOS SANGUÍNEOS
21,IMAGEN INTRAVASCULAR DE VASOS CEREBRALES EXTRACRANEALES
22,IMAGEN INTRAVASCULAR DE VASOS INTRATORÁCICOS
23,IMAGEN INTRAVASCULAR DE VASOS PERIFÉRICOS
24,IMAGEN INTRAVASCULAR DE VASOS CORONARIOS
25,IMAGEN INTRAVASCULAR DE VASOS RENALES
28,IMAGEN INTRAVASCULAR DE OTRO(S) VASO(S) ESPECIFICADO(S)
29,IMAGEN INTRAVASCULAR DE VASO(S) NO ESPECIFICADO(S)
3,CIRUGÍA ESPECIFICADOS ASISTIDA POR ORDENADOR [CAS]
31,CIRUGÍA ASISTIDA POR ORDENADOR CON TAC/TC
32,CIRUGÍA ASISTIDA POR ORDENADOR CON RM/ARM
33,CIRUGÍA ASISTIDA POR ORDENADOR CON RADIOSCOPIA
34,CIRUGÍA ASISTIDA POR ORDENADOR SIN IMAGEN
35,CIRUGÍA ASISTIDA POR ORDENADOR CON MÚLTIPLES FUENTES DE DATOS
39,OTRA CIRUGÍA ASISTIDA POR ORDENADOR
4,PROCEDIMIENTOS AUXILIARES SOBRE EL SISTEMA VASCULAR
40,PROCEDIMIENTO SOBRE UN SOLO VASO
41,PROCEDIMIENTO SOBRE DOS VASOS
42,PROCEDIMIENTO SOBRE TRES VASOS
43,PROCEDIMIENTO SOBRE CUATRO O MÁS VASOS
44,PROCEDIMIENTO SOBRE BIFURCACIÓN VASCULAR
45,INSERCIÓN DE UN STENT VASCULAR
46,INSERCIÓN DE DOS STENTS VASCULARES
47,INSERCIÓN DE TRES STENTS VASCULARES
