id,state,state_code
1,Aguascalientes,AS
2,Baja California,BC
3,Baja California Sur,BS
4,Campeche,CC
5,Ciudad de México,DF
6,Chiapas,CS
7,Chihuahua,CH
8,Coahuila de Zaragoza,CL
9,Colima,CM
10,Durango,DG
11,México,MC
12,Guanajuato,GT
13,Guerrero,GR
14,Hidalgo,HG
15,Jalisco,JC
16,Michoacán de Ocampo,MN
17,Morelos,MS
18,Nayarit,NT
19,Nuevo León,NL
20,Oaxaca,OC
21,Puebla,PL
22,Querétaro,QT
23,Quintana Roo,QR
24,San Luis Potosí,SP
25,Sinaloa,SL
26,Sonora,SR
27,Tabasco,TC
28,Tamaulipas,TS
29,Tlaxcala,TL
30,Veracruz de Ignacio de la Llave,VZ
31,Yucatán,YN
32,Zacatecas,ZS
